"filename", "language", "Python", "C++", "C", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\syn.c", "C", 0, 0, 5, 0, 0, 2, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\syn.h", "C++", 0, 6, 0, 0, 0, 3, 9
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.c", "C", 0, 0, 92, 0, 1, 15, 108
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.h", "C", 0, 0, 32, 0, 0, 6, 38
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.c", "C", 0, 0, 84, 0, 7, 9, 100
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.h", "C++", 0, 5, 0, 0, 0, 0, 5
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c", "C", 0, 0, 159, 0, 10, 17, 186
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h", "C++", 0, 13, 0, 0, 0, 3, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.c", "C", 0, 0, 9, 0, 0, 2, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h", "C", 0, 0, 20, 0, 0, 1, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, 0, 27, 0, 46, 15, 88
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h", "C++", 0, 4, 0, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py", "Python", 19, 0, 0, 0, 2, 6, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h", "C++", 0, 16, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.c", "C", 0, 0, 81, 0, 1, 8, 90
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.h", "C++", 0, 19, 0, 0, 0, 2, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h", "C++", 0, 36, 0, 0, 4, 5, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.c", "C", 0, 0, 6, 0, 1, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.h", "C++", 0, 5, 0, 0, 0, 1, 6
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\list.h", "C++", 0, 58, 0, 0, 0, 17, 75
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c", "C", 0, 0, 50, 0, 3, 6, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h", "C++", 0, 10, 0, 0, 0, 3, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 0, 0, 170, 0, 3, 16, 189
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C++", 0, 15, 0, 0, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.c", "C", 0, 0, 18, 0, 6, 7, 31
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.h", "C++", 0, 9, 0, 0, 0, 2, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.c", "C", 0, 0, 344, 0, 4, 52, 400
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.h", "C++", 0, 26, 0, 0, 0, 6, 32
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h", "C++", 0, 7, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 0, 0, 128, 0, 0, 14, 142
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C++", 0, 18, 0, 0, 0, 2, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h", "C++", 0, 47, 0, 0, 0, 17, 64
"c:\Users\45228\Desktop\share\ddos\code\user\Makefile", "Makefile", 0, 0, 0, 6, 0, 3, 9
"c:\Users\45228\Desktop\share\ddos\code\user\libs\assert.h", "C++", 0, 16, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\user\libs\atomic.h", "C++", 0, 79, 0, 0, 114, 25, 218
"c:\Users\45228\Desktop\share\ddos\code\user\libs\lock.h", "C++", 0, 31, 0, 0, 0, 9, 40
"c:\Users\45228\Desktop\share\ddos\code\user\libs\main.c", "C", 0, 0, 10, 0, 0, 1, 11
"c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.c", "C", 0, 0, 127, 0, 0, 18, 145
"c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.h", "C++", 0, 8, 0, 0, 0, 3, 11
"c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.c", "C", 0, 0, 55, 0, 0, 13, 68
"c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.h", "C++", 0, 9, 0, 0, 0, 3, 12
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.c", "C", 0, 0, 167, 0, 10, 18, 195
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.h", "C++", 0, 14, 0, 0, 0, 2, 16
"c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.c", "C", 0, 0, 7, 0, 5, 5, 17
"c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.h", "C++", 0, 7, 0, 0, 0, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.c", "C", 0, 0, 98, 0, 0, 9, 107
"c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.h", "C++", 0, 25, 0, 0, 0, 5, 30
"c:\Users\45228\Desktop\share\ddos\code\user\libs\stdarg.h", "C++", 0, 7, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\user\libs\string.c", "C", 0, 0, 128, 0, 0, 14, 142
"c:\Users\45228\Desktop\share\ddos\code\user\libs\string.h", "C++", 0, 18, 0, 0, 0, 2, 20
"c:\Users\45228\Desktop\share\ddos\code\user\libs\thread.c", "C", 0, 0, 36, 0, 0, 3, 39
"c:\Users\45228\Desktop\share\ddos\code\user\libs\thread.h", "C++", 0, 15, 0, 0, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\user\libs\types.h", "C++", 0, 29, 0, 0, 0, 11, 40
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c", "C", 0, 0, 166, 0, 0, 43, 209
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h", "C", 0, 0, 44, 0, 0, 1, 45
"c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.py", "Python", 22, 0, 0, 0, 2, 6, 30
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c", "C", 0, 0, 1170, 0, 62, 112, 1344
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.h", "C++", 0, 4, 0, 0, 0, 1, 5
"Total", "-", 41, 1653, 9847, 35, 767, 1776, 14119
