Date : 2024-07-27 13:11:34
Directory : c:\Users\45228\Desktop\share\ddos\code
Total : 104 files,  8217 codes, 506 comments, 1391 blanks, all 10114 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\assert.h                   | C++      |         16 |          0 |          4 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\atomic.h                   | C++      |         79 |        114 |         25 |        218 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\main.c                     | C        |         10 |          0 |          1 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.c                   | C        |         77 |          0 |          7 |         84 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.h                   | C++      |          7 |          0 |          3 |         10 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.c                    | C        |         55 |          0 |         13 |         68 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.h                    | C++      |          9 |          0 |          3 |         12 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.c                   | C        |        168 |         10 |         18 |        196 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.h                   | C        |         14 |          0 |          2 |         16 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.c                     | C        |          7 |          5 |          5 |         17 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.h                     | C++      |          7 |          0 |          3 |         10 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\stdarg.h                   | C++      |          7 |          1 |          4 |         12 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\string.c                   | C        |        128 |          0 |         14 |        142 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\string.h                   | C        |         18 |          0 |          2 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\types.h                    | C++      |         27 |          0 |          9 |         36 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c                     | C        |          9 |          0 |          3 |         12 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h                     | C        |         17 |          0 |          1 |         18 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.py                    | Python   |         19 |          2 |          6 |         27 |
| c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c                | C        |        208 |         11 |         10 |        229 |
| c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.h                | C++      |          4 |          0 |          1 |          5 |
| Total                                                                       |          |      8,217 |        506 |      1,391 |     10,114 |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
