"filename", "language", "C++", "C", "Assembler file", "Python", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.h", "C++", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.c", "C", 0, 360, 0, 0, 0, 4, 24, 388
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.h", "C", 0, 50, 0, 0, 0, 0, 9, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.c", "C", 0, 252, 0, 0, 0, 0, 28, 280
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.h", "C", 0, 43, 0, 0, 0, 0, 6, 49
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\signal.c", "C", 0, 111, 0, 0, 0, 12, 7, 130
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\signal.h", "C++", 35, 0, 0, 0, 0, 1, 6, 42
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\syn.c", "C", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\syn.h", "C++", 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.c", "C", 0, 92, 0, 0, 0, 1, 15, 108
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.h", "C", 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.c", "C", 0, 87, 0, 0, 0, 7, 9, 103
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.h", "C++", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c", "C", 0, 159, 0, 0, 0, 10, 17, 186
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h", "C++", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.c", "C", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h", "C", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, 26, 0, 0, 0, 47, 15, 88
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h", "C++", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.S", "Assembler file", 0, 0, 128, 0, 0, 0, 1, 129
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py", "Python", 0, 0, 0, 19, 0, 2, 6, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h", "C", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.c", "C", 0, 81, 0, 0, 0, 1, 8, 90
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.h", "C", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h", "C++", 36, 0, 0, 0, 0, 4, 5, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.c", "C", 0, 6, 0, 0, 0, 1, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.h", "C", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\list.h", "C", 0, 67, 0, 0, 0, 0, 19, 86
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c", "C", 0, 50, 0, 0, 0, 3, 6, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h", "C++", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 0, 183, 0, 0, 0, 3, 16, 202
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C++", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.c", "C", 0, 18, 0, 0, 0, 6, 7, 31
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.h", "C++", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.c", "C", 0, 344, 0, 0, 0, 4, 52, 400
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.h", "C++", 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h", "C++", 7, 0, 0, 0, 0, 1, 4, 12
