Date : 2024-11-08 17:39:29
Directory : c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs
Total : 171 files,  -32448 codes, -1137 comments, -2865 blanks, all -36450 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.h                     | C              |        -43 |          0 |         -6 |        -49 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\signal.c                  | C              |       -111 |        -12 |         -7 |       -130 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\signal.h                  | C++            |        -35 |         -1 |         -6 |        -42 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\syn.c                     | C              |         -5 |          0 |         -2 |         -7 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\syn.h                     | C++            |         -6 |          0 |         -3 |         -9 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.c                    | C              |        -92 |         -1 |        -15 |       -108 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.h                    | C              |        -32 |          0 |         -6 |        -38 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.c             | C              |        -87 |         -7 |         -9 |       -103 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.h             | C++            |         -5 |          0 |          0 |         -5 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c                | C              |       -159 |        -10 |        -17 |       -186 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h                | C++            |        -13 |          0 |         -3 |        -16 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.c                   | C              |         -9 |          0 |         -2 |        -11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h                   | C              |        -20 |          0 |         -1 |        -21 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c               | C              |        -26 |        -47 |        -15 |        -88 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h               | C++            |         -4 |          0 |          0 |         -4 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.S                   | Assembler file |       -128 |          0 |         -1 |       -129 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py                  | Python         |        -19 |         -2 |         -6 |        -27 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h                 | C              |        -16 |          0 |         -4 |        -20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.c                 | C              |        -81 |         -1 |         -8 |        -90 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.h                 | C              |        -19 |          0 |         -2 |        -21 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h                    | C++            |        -36 |         -4 |         -5 |        -45 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.c                   | C              |         -6 |         -1 |         -3 |        -10 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.h                   | C              |         -5 |          0 |         -1 |         -6 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\list.h                   | C              |        -67 |          0 |        -19 |        -86 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c                  | C              |        -50 |         -3 |         -6 |        -59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h                  | C++            |        -10 |          0 |         -3 |        -13 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c                 | C              |       -183 |         -3 |        -16 |       -202 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h                 | C++            |        -15 |          0 |         -5 |        -20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.c                   | C              |        -18 |         -6 |         -7 |        -31 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.h                   | C++            |         -9 |          0 |         -2 |        -11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.c                 | C              |       -344 |         -4 |        -52 |       -400 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.h                 | C++            |        -26 |          0 |         -6 |        -32 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h                 | C++            |         -7 |         -1 |         -4 |        -12 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c                 | C              |       -149 |          0 |        -17 |       -166 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h                 | C              |        -21 |          0 |         -2 |        -23 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h                  | C              |        -47 |          0 |        -17 |        -64 |
| c:\Users\45228\Desktop\share\ddos\code\user\Makefile                        | Makefile       |         -6 |          0 |         -3 |         -9 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\assert.h                   | C              |        -16 |          0 |         -4 |        -20 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\atomic.h                   | C              |        -79 |       -114 |        -25 |       -218 |
